Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	40fb8c49-f6eb-445b-b99b-7be01e02e7a0	Detection		NeuN: Ignore*	Root object (Image)	Polygon	496.89	886.71	1969.7307	465.0577	2127.7693	227.2655	0.6316	20.463
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	6785b0db-4e77-437b-bba3-d3e0c69e227f	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	817.68	811.87	4996	459.3818	5199.9092	226.7461	0.7302	19.0167
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	ac34c637-523b-4779-a716-ce7462a2adfc	Detection		Ignore*	Root object (Image)	Polygon	273.54	232.06	1171.4	757.6364	649.3273	225.8888	0.5298	24.419
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	e266a967-e3ef-4314-a0b6-782697dfef4b	Detection		NeuN: Ignore*	Root object (Image)	Polygon	714.84	581.91	1809.5962	360.3462	1303.1346	222.7455	0.6492	21.7087
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	3491749e-69dd-4acf-961b-a30ee5879de3	Detection		Ignore*	Root object (Image)	Polygon	464.71	221.26	1417.3673	233.7959	720.1633	221.7414	0.5196	27.1158
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	a7f1de1d-8193-4acb-aec5-4016dbc25d7f	Detection		NeuN: Ignore*	Root object (Image)	Polygon	445.32	151.96	2150.717	246.8868	974.3396	219.9931	0.6268	20.4734
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	dcf87977-345b-4b29-ba81-6456e05492b1	Detection		Ignore*	Root object (Image)	Polygon	421.1	367.57	1245.3148	223.0926	698.8889	219.6381	0.4391	27.7718
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	69d4c7b9-eb00-45f6-bb67-171dd01c3133	Detection		NeuN: Ignore*	Root object (Image)	Polygon	794.48	748.19	3451.2041	326.0408	2660.5103	215.9891	0.6855	20.9874
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	ae53e0bc-7fa5-4987-81e0-97f040131996	Detection		NeuN: Ignore*	Root object (Image)	Polygon	393.49	223.84	1715.3125	265.3958	1158.875	213.5217	0.6291	21.0386
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	7029e054-d777-436e-973d-7ad11575c229	Detection		NeuN: Ignore*	Root object (Image)	Polygon	394.79	660.46	2608.9761	396.4286	1326.119	180.7353	0.5671	19.9075
