Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	27eda67b-c355-40e6-97fd-8dba40c0d2e6	Detection		NeuN: Ignore*	Root object (Image)	Polygon	638.85	565.41	1639.8442	339.0205	4346.0737	993.0184	0.6819	38.8336
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	8f7c2660-74f3-4e57-8f53-bfafe7b6895a	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	489.74	907.76	8278.8975	433.3004	6708.5391	992.8727	0.5904	41.9337
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	dd56f351-8191-4410-b5aa-83c9f0334933	Detection		NeuN: Ignore*	Root object (Image)	Polygon	616.24	738.64	1444.9667	273.4417	4842.6294	983.1241	0.6068	43.1502
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	aced17c8-a3fc-4cfd-8026-30399ad8b48a	Detection		NeuN: Ignore*	Root object (Image)	Polygon	880.5	395.43	3032.7683	509.0447	5308.8657	981.7443	0.5033	48.0168
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	3b92a9e2-147b-469e-baea-22ded1ca813d	Detection		NeuN: Ignore*	Root object (Image)	Polygon	922.31	684.26	3063.0212	409.4237	9327.2412	966.2617	0.6092	46.0902
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	b6f35a54-0cbc-47d2-8c49-31f9ee96dc52	Detection		NeuN: Ignore*	Root object (Image)	Polygon	1002.8	607.52	2040.2395	340.3907	8805.1172	966.6227	0.602	44.6201
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	6a2cabb5-98e7-4a41-987c-a6142161699d	Detection		NeuN: Ignore*	Root object (Image)	Polygon	334.73	597.89	2164.1348	552.5609	4975.7827	964.3503	0.6348	45.4017
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	294f0aed-7142-4762-ba99-f93a3d67a661	Detection		NeuN: Ignore*	Root object (Image)	Polygon	926.16	455.34	2857.8135	625.7161	2222.3645	951.7401	0.5183	48.9727
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	d1dafc04-2b0b-4fa2-8733-3d89dd9113d9	Detection		NeuN: Ignore*	Root object (Image)	Polygon	661.45	521.14	1704.3247	349.039	4855.8398	929.6943	0.7154	38.205
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	1696b32b-8734-4854-8c67-bd5cb4bd8595	Detection		NeuN: Ignore*	Root object (Image)	Polygon	699.68	752.6	2222.9199	366.8667	5362.1509	919.2584	0.6399	45.722
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	0d40885f-607b-4695-a8f6-3af745cd78cb	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	793.61	484.27	9203.5156	374.3788	7933.7666	908.626	0.6007	39.7018
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	0dc2b825-3f08-4b01-9f4c-d4cf7f6ceaaa	Detection		NeuN: Ignore*	Root object (Image)	Polygon	500.05	450.88	1691.5289	358.9422	3272.6755	907.5375	0.6513	39.71
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	e9e023a1-3dcf-4ad5-ac10-01d638c1021b	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	538.98	494.94	6762.416	384.6283	6483.1416	900.6151	0.6383	41.0188
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	c02fe1f1-cbfd-4fd5-a737-b1692348a5c3	Detection		NeuN: Ignore*	Root object (Image)	Polygon	987.69	736.9	3163.6228	485.9045	4955.5908	899.255	0.5268	43.4073
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	71565ed6-5be8-402e-aa3e-8087c335215a	Detection		NeuN: Ignore*	Root object (Image)	Polygon	511.21	1068	2429.4792	511.8018	5575.6958	893.6176	0.6347	38.0204
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	296fa508-a246-4bbc-aad0-e5a39f7d3b77	Detection		NeuN: Ignore*: TREK1	Root object (Image)	Polygon	643.73	802.62	3157.9189	9590.0635	1678.2028	893.1294	0.6775	39.6239
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	39edb3f8-4922-4e7c-93b2-a9c64531fbe1	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	669.88	802.74	7272.0601	402.1991	5385.4536	889.0003	0.698	37.8295
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	f4a4898c-9504-45fe-a753-b3d9410baf03	Detection		NeuN: Ignore*	Root object (Image)	Polygon	579.79	496.39	1907.2325	417.6465	7388.0791	884.2547	0.6745	39.6238
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	3bc51192-f68b-46af-9eb6-a5a9532d0a85	Detection		NeuN: Ignore*	Root object (Image)	Polygon	890.13	1014.8	2743.6636	568.1589	4495.7012	869.9961	0.5547	46.4574
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	24a337c2-2175-4760-a5eb-888baec4cdb9	Detection		NeuN: Ignore*	Root object (Image)	Polygon	529.71	944.56	2569.4485	481.5467	6469.7896	868.493	0.6135	39.6879
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	239b2448-5c7a-4c49-b39a-6ee67bc565aa	Detection		NeuN: Ignore*	Root object (Image)	Polygon	719.3	491.66	2191.5608	370.0421	6637.6401	857.1262	0.4599	42.1017
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	bb255d53-4650-4a30-9df2-e5d1e00f3a21	Detection		NeuN: Ignore*	Root object (Image)	Polygon	754.2	468.76	2297.1597	447.4037	8882.7041	854.496	0.6795	37.8347
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	10378bfc-c543-4e21-94ca-8e96b2de5a52	Detection		NeuN: Ignore*	Root object (Image)	Polygon	838.04	1066.5	3136.3843	442.9901	7523.4087	849.6132	0.5841	44.9744
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	a047ca5f-545c-4a20-bdb0-a41a9e724a61	Detection		NeuN: Ignore*	Root object (Image)	Polygon	543.52	965.94	2491.3816	541.0676	4871.1641	845.113	0.6527	38.6391
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	d1b4370e-b06b-4ce7-92c1-2c308f2b706f	Detection		NeuN: Ignore*	Root object (Image)	Polygon	480.41	963.9	1865.7307	458.7644	5289.4038	844.4938	0.6744	36.9629
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	f76ed46a-cc6d-4c63-9f90-ac8a473562cf	Detection		NeuN: Ignore*	Root object (Image)	Polygon	879.25	1051.7	2307.1924	413.8365	7024.3896	843.3773	0.4925	44.9945
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	47be1451-1fe3-4870-9eaa-a3fe029f3991	Detection		NeuN: Ignore*	Root object (Image)	Polygon	481.02	1047.2	2228.0239	494.3952	5624.6665	842.6383	0.3858	48.9789
