Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	d9935508-8284-492a-a888-d422126f5c82	Detection		NeuN: Ignore*	Root object (Image)	Polygon	240.67	298.79	3771.3879	451.3582	6907.2837	562.8856	0.6482	33.5684
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	1dfec361-f705-4e59-b39b-41bdfcc61726	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	412.89	358.4	4982.2554	424.635	4231.4819	554.3803	0.6414	31.7961
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	7dff9af6-16e8-4228-b2fc-11ebebbb7174	Detection		NeuN: Ignore*	Root object (Image)	Polygon	474.78	330.44	2804.4927	423.1397	5502.228	549.5128	0.6572	33.1838
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	eaff3e6a-a8f9-456c-a101-6fb4f5bc1330	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	211.22	325.39	7024.3013	397.3971	6727.0439	543.6369	0.622	35.171
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	61baa62f-5096-40cb-b28e-a2d00a53044f	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	76.71	405.53	4083.9314	461.2214	5925.0532	534.515	0.6338	30.5007
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	ea2912f0-d615-4aea-ad40-d9383bcd6246	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	83.83	489.86	4652.0386	395.7462	6861.3076	527.5177	0.5755	32.3828
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	b32d11c5-4009-4e95-b873-26412a11c755	Detection		NeuN: Ignore*	Root object (Image)	Polygon	201.16	136.48	2936.0681	521.7576	5415.6514	527.0126	0.6071	30.5996
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	dd1e5d82-8b1b-4045-840f-062a0edacc43	Detection		NeuN: Ignore*	Root object (Image)	Polygon	374.08	207.32	3933.5427	477.8682	4266.8447	524.4949	0.5912	34.3018
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	f1ba8250-8d24-4393-a3b2-2a6267fbac3f	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	98.87	414.77	4736.103	433.6825	5406.4365	514.4841	0.6477	30.7521
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	f8b9ad9b-d9f5-406d-a977-6ad051dfe8ee	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	69.41	433.84	5480.9604	471.3413	6998.3652	512.6231	0.5409	36.4003
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	2047b52f-1250-4628-8dfd-a61fdac23718	Detection		NeuN: Ignore*	Root object (Image)	Polygon	145.2	173.14	1471.8969	398.2857	4591.4922	509.1334	0.6169	30.7825
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	db6dc829-a6ba-4b9d-b915-81c38fd5a883	Detection		NeuN: Ignore*	Root object (Image)	Polygon	361.02	94.13	1984.6666	552.5284	3651.5447	495.9999	0.61	30.1758
