Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	a748119c-5799-4a7e-abc0-e20bf9aefdef	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	417.68	140.74	10849.4062	476.2812	5256.4165	388.1153	0.5525	29.7072
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	5455d1c7-429a-4812-9ced-b3c9a3d9b85d	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	315.93	296.68	19949.1758	501.5494	5153.9009	386.1373	0.5808	30.8289
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	44d1dc10-2c67-41ee-a9e0-b4aa545af207	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	461.08	294.26	4914.7271	1118.6477	3845.4431	383.2331	0.6658	26.6319
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	347c6e43-f5db-4d59-84df-32c4e45a534c	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	374.62	473.36	5377.3999	440.2632	5629.916	383.2508	0.5428	32.9768
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	4f6d31f2-442b-4c76-9454-14b74e8ed9df	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	298.96	270.8	5330.8228	640.5938	3140.8438	382.2454	0.5992	29.1549
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	aab7b2ba-3ab7-4c56-9452-ae5b2b1a5caf	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	98.47	265.19	5052.5112	460.6023	4596.0342	378.0098	0.6877	25.0353
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	c017972e-20d8-4e9b-82d2-a3835c423d49	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	380.52	279.34	4305.292	472.1798	5002.1685	374.6022	0.6425	26.0073
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	0ab41112-5084-41c7-a317-1617113dd2a6	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	468.1	275.72	10338.5449	1145.6	5147.0557	371.6304	0.6354	26.9032
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	fa2a63dc-eef7-4de1-b3fa-ed425a43ee83	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	88.74	332.84	10642.7305	409.0337	5552.0112	372.3696	0.6231	29.7036
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	1084dafe-e2fc-469c-a715-a147c274875a	Detection		NeuN: Ignore*	Root object (Image)	Polygon	441.08	196.48	3802.2825	579.4117	3130.894	366.7512	0.4943	29.9983
