Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	12b99e6f-9162-48da-9621-7b58f037f935	Detection		NeuN: Ignore*	Root object (Image)	Polygon	757.76	469.67	2128.7771	506.456	4508.3989	784.0084	0.5323	45.8537
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	8f49a517-ef46-48f7-84be-ffec54d900e4	Detection		NeuN: Ignore*	Root object (Image)	Polygon	486.89	358.95	3178.0466	476.5492	6932.1245	782.4885	0.6352	36.0032
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	97ada8be-ff9f-44ab-8366-359a5c6e59c9	Detection		NeuN: Ignore*	Root object (Image)	Polygon	823.55	402.23	2002.1685	513.9158	3464.5737	782.249	0.6339	37.3669
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	ba37788d-6a21-4f35-8f0d-dbbceed4c5aa	Detection		NeuN: Ignore*	Root object (Image)	Polygon	458.34	368.2	2368.75	591.6719	6318.7656	778.3572	0.6169	38.1762
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	2a748fd3-6c29-4b3e-8003-f176e9c0a4fd	Detection		NeuN: IB4: TREK1	Root object (Image)	Polygon	349.38	785.51	4596.2354	15251.3955	3713.5562	773.8819	0.6002	37.7347
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	624bf106-dcfa-404d-b98d-48b9b369a8ab	Detection		NeuN: Ignore*	Root object (Image)	Polygon	573.31	334.74	1768.1428	490.9683	5769.4126	767.1331	0.6341	37.5608
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	0de8e12b-5dc2-4f99-87df-3c1f6b5db038	Detection		NeuN: Ignore*	Root object (Image)	Polygon	346.71	873.76	2686.7329	535.4503	4218.707	767.4924	0.4603	54.9383
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	c08cec8d-54a2-47a4-afa9-9541379d290e	Detection		NeuN: Ignore*	Root object (Image)	Polygon	863.45	455.32	3913.0696	477.9947	6481.0962	766.8513	0.5977	42.1032
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	936b7f17-c4f5-417e-b93f-24dc76924062	Detection		NeuN: Ignore*	Root object (Image)	Polygon	520.28	456.64	2264.8	460.5444	5625.4834	760.4979	0.658	37.1365
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	d809d321-c414-4a13-b3c8-ad2ba6dfb977	Detection		NeuN: Ignore*	Root object (Image)	Polygon	675.31	759.09	2461.8162	612.2108	2628.6865	746.6119	0.6408	37.6553
